product_name,Attributes
samsung galaxy A03 - 8/128GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:8/128GB, Product screen-size:6.5"""
samsung galaxy A03 - 8/128GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:8/128GB, Product screen-size:6.5"""
samsung galaxy A03 - 8/128GB - red,"Product Battery Capacity:5000mAh, Product color:red, Product Ram/Storage:8/128GB, Product screen-size:6.5"""
samsung galaxy A03 - 8/32GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:8/32GB, Product screen-size:6.5"""
samsung galaxy A03 - 8/32GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:8/32GB, Product screen-size:6.5"""
samsung galaxy A03 - 8/32GB - red,"Product Battery Capacity:5000mAh, Product color:red, Product Ram/Storage:8/32GB, Product screen-size:6.5"""
samsung galaxy A03 - 8/64GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:8/64GB, Product screen-size:6.5"""
samsung galaxy A03 - 8/64GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:8/64GB, Product screen-size:6.5"""
samsung galaxy A04 - 8/32GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:8/32GB, Product screen-size:6.5"""
samsung galaxy A04 - 8/32GB - white,"Product Battery Capacity:5000mAh, Product color:White, Product Ram/Storage:8/32GB, Product screen-size:6.5"""
samsung galaxy A13 - 8/128GB - white,"Product Battery Capacity:5000mAh, Product color:White, Product Ram/Storage:8/128GB, Product screen-size:6.6"""
samsung galaxy A13 - 128GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:128GB, Product screen-size:6.6"""
samsung galaxy A13 - 128GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:128GB, Product screen-size:6.6"""
samsung galaxy A13 - 64GB - white,"Product Battery Capacity:5000mAh, Product color:White, Product Ram/Storage:64GB, Product screen-size:6.6"""
samsung galaxy A13 - 64GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:64GB, Product screen-size:6.6"""
samsung galaxy A13 - 64GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:64GB, Product screen-size:6.6"""
samsung galaxy A23 - 128GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:128GB, Product screen-size:6.6"""
samsung galaxy A23 - 128GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:128GB, Product screen-size:6.6"""
samsung galaxy A23 - 128GB - white,"Product Battery Capacity:5000mAh, Product color:White, Product Ram/Storage:128GB, Product screen-size:6.6"""
samsung galaxy A23 - 128GB - orange,"Product Battery Capacity:5000mAh, Product color:orange, Product Ram/Storage:128GB, Product screen-size:6.6"""
samsung galaxy A32 - 128GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:128GB, Product screen-size:6.4"""
samsung galaxy A32 - 128GB - white,"Product Battery Capacity:5000mAh, Product color:White, Product Ram/Storage:128GB, Product screen-size:6.4"""
samsung galaxy A32 - 128GB - purple,"Product Battery Capacity:5000mAh, Product color:Purple, Product Ram/Storage:128GB, Product screen-size:6.4"""
samsung galaxy A53 5G - 256GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:256GB, Product screen-size:6.5"""
samsung galaxy A53 5G - 256GB - white,"Product Battery Capacity:5000mAh, Product color:White, Product Ram/Storage:256GB, Product screen-size:6.5"""
samsung galaxy A53 5G - 256GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:256GB, Product screen-size:6.5"""
samsung galaxy A73 5G - 256GB - black,"Product Battery Capacity:5000mAh, Product color:Black, Product Ram/Storage:256GB, Product screen-size:6.7"""
samsung galaxy A73 5G - 256GB - blue,"Product Battery Capacity:5000mAh, Product color:Blue, Product Ram/Storage:256GB, Product screen-size:6.7"""
samsung galaxy A73 5G - 256GB - white,"Product Battery Capacity:5000mAh, Product color:White, Product Ram/Storage:256GB, Product screen-size:6.7"""
Samsung Earphones Tuned By Akg - Grey,"Product color:grey, Product Connectivity technology:wired, Product Weight:9.97 g"
Smeg - 2 Slice Toaster Sandwich Rack Set - Stainless Steel,Product color:Stainless Steel
